Unnamed: 0,Cash & Cash Equivalents,Total Assets,Total Liabilities,Shareholders' Equity,Total Long-Term Liabilities,Total Current Liabilities,Long-Term Debt,Current Debt,Accion
2006-06-30,55.247,1916.326,654.624,1261.702,167.806,486.818,100.678,0.265,ORLY
2006-03-31,55.29,1802.994,596.522,1206.472,87.955,508.567,25.436,75.154,ORLY
2005-12-31,31.384,1718.896,573.127,1145.769,87.46,485.667,25.461,75.313,ORLY
2005-09-30,51.591,1662.01,564.332,1097.678,78.928,485.404,25.468,75.444,ORLY
2005-06-30,36.452,1608.109,564.523,1043.586,69.822,494.701,25.471,75.587,ORLY
2005-03-31,89.27,1505.067,516.051,989.016,150.522,365.529,100.173,0.591,ORLY
2004-12-31,69.028,1432.357,484.54,947.817,150.725,333.815,100.322,0.592,ORLY
2004-09-30,83.619,1405.328,510.658,894.67,146.359,364.299,100.469,0.592,ORLY
2004-06-30,88.117,1352.715,494.57,858.145,143.707,350.863,100.616,0.776,ORLY
2004-03-31,45.337,1252.977,438.172,814.805,140.53,297.642,100.823,0.833,ORLY
2003-12-31,21.094,1157.033,372.748,784.285,157.439,215.309,120.977,0.925,ORLY
2003-09-30,33.045,1140.617,391.619,748.998,142.586,249.033,110.216,0.407,ORLY
2003-06-30,26.23,1093.802,383.67,710.132,164.445,219.225,135.317,0.475,ORLY
2003-03-31,19.744,1028.663,355.553,673.11,179.906,175.647,155.371,0.578,ORLY
2002-12-31,29.333,1009.419,358.895,650.524,211.473,147.422,190.47,0.682,ORLY
2002-09-30,32.381,974.963,344.824,630.139,178.52,166.304,160.619,0.748,ORLY
2002-06-30,27.852,944.445,341.659,602.786,185.642,156.017,170.56,4.515,ORLY
2002-03-31,20.891,894.783,319.759,575.024,181.332,138.427,168.145,11.069,ORLY
2001-12-31,15.041,856.859,300.568,556.291,179.432,121.136,165.618,16.843,ORLY
2001-09-30,33.779,789.99,256.325,533.665,115.881,140.444,104.309,15.241,ORLY
2001-06-30,17.301,758.003,252.233,505.77,122.759,129.474,112.197,14.908,ORLY
